,2020-07-29Hour00,2020-07-29Hour01,2020-07-29Hour02,2020-07-29Hour03,2020-07-29Hour04,2020-07-29Hour05,2020-07-29Hour06,2020-07-29Hour07,2020-07-29Hour08,2020-07-29Hour09,2020-07-29Hour10
S92,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4,0.4,0.0
S88,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
S123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.4
S89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,1.8000000000000003,3.0,0.2
S115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999998,1.0,2.0,2.0
S82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8,3.0,0.0
S24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.6,3.8
S08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.8,0.0
S104,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
S100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2,0.0,0.0
S91,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0
