,2017-08-06Hour00,2017-08-06Hour01,2017-08-06Hour02,2017-08-06Hour03,2017-08-06Hour04,2017-08-06Hour05,2017-08-06Hour06,2017-08-06Hour07,2017-08-06Hour08,2017-08-06Hour09,2017-08-06Hour10,2017-08-06Hour11,2017-08-06Hour12,2017-08-06Hour13,2017-08-06Hour14,2017-08-06Hour15,2017-08-06Hour16,2017-08-06Hour17,2017-08-06Hour18,2017-08-06Hour19,2017-08-06Hour20,2017-08-06Hour21,2017-08-06Hour22,2017-08-06Hour23
S77,0.0,0,0.0,0,,0,0,0,0,0,0.0,0.0,0.0,0,3.8000000000000007,3.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S109,0.0,0,0.0,0,,0,0,0,0,0,0.0,0.0,0.0,0,7.800000000000001,2.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
S117,0.0,0,0.0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,2.2,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S64,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,9.8,0.2,0.0,0.0
S90,0.0,0,0.0,0,,0,0,0,0,0,0.0,0.0,0.0,0,2.8000000000000003,1.8,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
S61,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0.0,0,0.0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,0.2,0.0,0.0
S11,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.799999999999999,0.4,0.8,0.0,0.0,0.0
S50,0.0,0,0.0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.8,,0.0,0.0,0.0,9.399999999999999,0.0,,
