,2019-03-24Hour00,2019-03-24Hour01,2019-03-24Hour02,2019-03-24Hour03,2019-03-24Hour04,2019-03-24Hour05,2019-03-24Hour06,2019-03-24Hour07,2019-03-24Hour08,2019-03-24Hour09,2019-03-24Hour10,2019-03-24Hour11,2019-03-24Hour12,2019-03-24Hour13,2019-03-24Hour14,2019-03-24Hour15,2019-03-24Hour16,2019-03-24Hour17,2019-03-24Hour18,2019-03-24Hour19,2019-03-24Hour20,2019-03-24Hour21,2019-03-24Hour22,2019-03-24Hour23
S105,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
S77,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.199999999999999,0.0,0.0,0.0,0.0,0.0
S117,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S64,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
S90,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
S61,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4.6,9.6,0.0,0.0,0.0,0.0,0.0
S11,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,9.4,10.0,0.0,0.0,0.0,0.0,0.0
S50,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.399999999999999,0.2,0.0,0.0,0.0,0.0
S107,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S215,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0
S118,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S120,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.6000000000000001,0.8,0.0,0.0,0.0,0.0,0.0
S33,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S43,0,0,0,0,0.2,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
S66,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.8000000000000003,22.199999999999992,0.2,0.0,0.0,0.0,0.0,0.0
S112,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,7.0,21.799999999999997,0.2,0.0,0.0,0.0,0.0,0.0
S07,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
S40,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
S108,0,0,0,0,0.0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S113,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S44,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
S119,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
S121,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,9.0,13.199999999999998,0.0,0.0,0.0,0.0,0.0
S35,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1.6,8.799999999999999,0.0,0.0,0.0,0.0,0.0
S29,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S94,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S78,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S106,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S81,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S111,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S900,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,10.2,0.2,0.0,0.0,0.0,0.0,0.2
S60,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
