,2019-12-14Hour00,2019-12-14Hour01,2019-12-14Hour02,2019-12-14Hour03,2019-12-14Hour04,2019-12-14Hour05,2019-12-14Hour06,2019-12-14Hour07,2019-12-14Hour08,2019-12-14Hour09,2019-12-14Hour10,2019-12-14Hour11,2019-12-14Hour12,2019-12-14Hour13,2019-12-14Hour14,2019-12-14Hour15,2019-12-14Hour16,2019-12-14Hour17,2019-12-14Hour18,2019-12-14Hour19,2019-12-14Hour20,2019-12-14Hour21,2019-12-14Hour22,2019-12-14Hour23
S105,2.0,3.600000000000001,4.0,3.8000000000000003,1.4,0.4,5.2,5.8,3.6000000000000005,2.4000000000000004,0.2,0.4,0.0,0.0,1.4000000000000001,3.2000000000000006,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S77,1.5999999999999999,3.2,1.8,0.4,0.6000000000000001,0.0,2.1999999999999997,4.0,3.4000000000000004,2.1999999999999997,2.2,1.0,0.6000000000000001,0.2,0.0,0.6000000000000001,1.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0
S109,3.8,5.600000000000001,2.8000000000000003,1.5999999999999999,0.6000000000000001,0.4,5.3999999999999995,6.0,3.200000000000001,1.5999999999999999,0.8,0.4,0.2,0.2,0.0,3.8000000000000003,1.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0
S117,0.2,1.2,2.4,1.0,0.2,0.2,0.0,3.4000000000000004,3.0,2.1999999999999997,1.7999999999999998,1.0,0.4,0.0,0.0,0.2,0.6000000000000001,0.4,0.2,0.0,0.0,0.0,0.0,0.0
S64,2.6,4.6000000000000005,4.4,2.4,0.4,0.2,3.6,6.799999999999999,4.200000000000001,2.4,0.4,0.4,0.0,0.0,0.2,1.7999999999999998,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S90,1.8,3.6,2.400000000000001,0.6000000000000001,0.6000000000000001,0.0,2.6,5.0,3.6000000000000005,2.0,1.8,1.0,0.4,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.4,0.2,0.0
S61,2.4000000000000004,4.6000000000000005,0.6000000000000001,0.2,0.8,0.4,4.999999999999999,6.600000000000001,3.0,1.5999999999999999,1.7999999999999998,0.8,0.4,0.2,1.0,1.2,1.2,0.0,0.0,0.2,0.2,1.2,0.0,0.0
S114,1.7999999999999998,4.0,4.3999999999999995,2.4000000000000004,0.6000000000000001,0.2,3.0,6.8,4.4,2.4,0.4,0.4,0.0,0.0,0.2,1.4,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S11,1.0,3.4000000000000004,4.199999999999999,2.4,0.6000000000000001,0.2,2.4,6.000000000000001,4.200000000000001,3.200000000000001,0.8,0.4,0.0,0.0,0.2,0.8,0.6000000000000001,0.2,,0.0,0.0,0.0,0.0,0.0
S50,1.9999999999999998,3.4,3.0000000000000004,1.2,0.4,0.0,3.0,5.6,3.2,2.1999999999999997,1.0,0.8,0.2,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S107,2.600000000000001,4.0,0.0,0.6000000000000001,0.8,0.8,9.600000000000001,10.6,2.4,2.1999999999999997,1.9999999999999998,0.8,0.4,0.0,1.2,0.8,0.8,0.2,0.2,0.0,0.0,2.4000000000000004,0.0,0.0
S215,1.8270000000000004,3.6540000000000004,0.812,0.203,0.406,0.203,2.639,3.2479999999999993,2.639,1.6240000000000003,1.6240000000000003,0.609,0.406,0.0,0.203,1.6240000000000003,0.812,1.0150000000000001,0.0,0.0,0.0,1.2180000000000002,0.0,0.0
S118,1.9999999999999998,3.8,1.4,0.2,0.6000000000000001,0.2,2.4000000000000004,3.4000000000000004,3.600000000000001,1.9999999999999998,2.1999999999999997,0.8,0.8,0.0,0.0,2.0,0.8,0.6000000000000001,0.0,0.0,0.0,0.2,0.4,0.0
S120,1.8,3.8,2.2,0.6000000000000001,0.6000000000000001,0.0,2.6,4.4,4.2,2.2,2.1999999999999997,1.0,0.8,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.2,0.4,0.0
S33,0.4,2.4,3.4000000000000004,1.2,0.4,0.0,1.2,4.6,3.6,2.8000000000000003,1.9999999999999998,1.0,0.2,0.0,0.0,0.6000000000000001,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
S71,,,,,,,,,,,,,0.6000000000000001,0.0,0.0,0.4,1.0,,,,,,,
S43,2.6000000000000005,4.4,1.4,0.2,0.8,0.2,4.199999999999999,5.000000000000001,3.0000000000000004,1.7999999999999998,1.2,0.6000000000000001,0.4,0.0,0.6000000000000001,1.7999999999999998,1.2,0.4,0.0,0.0,0.0,1.0,0.0,0.0
S66,1.2,3.6000000000000005,3.4000000000000004,3.8000000000000003,1.0,0.6000000000000001,4.3999999999999995,6.4,5.0,3.000000000000001,0.4,0.4,0.0,0.0,0.2,1.7999999999999998,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S112,,,,,,,,,,,,,,0.0,0.0,1.4,2.4000000000000004,0.2,0.0,0.0,0.0,,,
S07,2.6000000000000005,3.9999999999999996,2.4,0.8,0.4,0.2,3.5999999999999996,5.6,3.8000000000000007,1.7999999999999998,1.0,0.8,0.2,0.0,0.0,1.4,0.8,0.2,0.0,0.0,0.0,0.2,0.2,0.0
S40,2.2,5.000000000000001,4.8,2.600000000000001,0.8,0.2,4.6,7.199999999999999,4.2,2.4,0.4,0.4,0.0,0.0,0.6000000000000001,3.6,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S108,2.1999999999999997,3.9999999999999996,0.6000000000000001,0.0,0.6000000000000001,0.2,2.8,3.2,2.8000000000000003,2.1999999999999997,2.1999999999999997,1.0,0.6000000000000001,0.0,0.2,1.2,0.8,0.6000000000000001,0.0,0.0,0.2,0.2,0.0,0.0
S113,2.4,3.8,0.4,0.2,0.6000000000000001,0.2,3.4000000000000004,5.800000000000001,2.6,2.0,1.9999999999999998,0.8,0.6000000000000001,0.0,0.6000000000000001,1.0,0.8,0.0,0.0,0.2,0.0,2.4000000000000004,0.0,0.0
S44,0.8,3.2000000000000006,4.199999999999999,1.7999999999999998,0.4,0.0,1.6,6.3999999999999995,4.4,3.400000000000001,1.4,0.6000000000000001,0.0,0.0,0.0,0.4,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0
S119,1.9999999999999998,4.2,1.0,0.0,0.6000000000000001,0.2,3.0000000000000004,3.400000000000001,3.400000000000001,2.2,2.1999999999999997,1.0,0.6000000000000001,0.0,0.2,2.400000000000001,0.8,2.6,0.0,0.0,0.0,0.4,0.0,0.0
S121,1.6,3.8000000000000003,4.199999999999999,2.4,0.4,0.2,2.8,6.3999999999999995,4.200000000000001,2.8000000000000003,0.6000000000000001,0.2,0.0,0.0,0.2,1.0,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S35,1.7999999999999998,3.6,3.200000000000001,1.4,0.2,0.2,2.5999999999999996,6.0,3.6000000000000005,2.4000000000000004,1.0,0.8,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S29,3.0,5.600000000000001,1.9999999999999998,1.2,0.8,1.4,6.599999999999999,,3.400000000000001,1.0,1.5999999999999999,0.0,0.2,0.0,8.799999999999999,1.2,1.4,0.2,0.0,0.0,0.2,0.4,0.0,0.0
S94,2.8000000000000003,5.400000000000001,1.0,0.8,0.8,1.0,5.599999999999999,9.2,3.000000000000001,1.0,1.5999999999999999,0.2,0.2,0.0,6.000000000000001,0.8,2.2,0.0,0.0,0.2,0.6000000000000001,0.6000000000000001,0.0,0.0
S78,1.9999999999999998,4.4,0.8,0.0,0.6000000000000001,0.2,3.2,3.8000000000000007,2.8000000000000003,1.9999999999999998,2.1999999999999997,0.8,0.6000000000000001,0.0,0.4,1.0,0.8,1.0,0.0,0.2,0.0,1.6,0.0,0.0
S106,3.5999999999999996,5.0,4.800000000000001,2.2,0.6000000000000001,2.8,6.6,6.6000000000000005,3.2000000000000006,0.6000000000000001,0.8,0.0,0.2,0.0,7.2,1.2,1.0,0.0,0.0,0.0,0.4,,,
