,2019-06-06Hour00,2019-06-06Hour01,2019-06-06Hour02,2019-06-06Hour03,2019-06-06Hour04,2019-06-06Hour05,2019-06-06Hour06,2019-06-06Hour07,2019-06-06Hour08,2019-06-06Hour09,2019-06-06Hour10,2019-06-06Hour11,2019-06-06Hour12,2019-06-06Hour13,2019-06-06Hour14,2019-06-06Hour15,2019-06-06Hour16,2019-06-06Hour17,2019-06-06Hour18,2019-06-06Hour19,2019-06-06Hour20,2019-06-06Hour21,2019-06-06Hour22,2019-06-06Hour23
S105,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20.8,1.0,0.2,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S77,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,4.0,0.0,0.0,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999998,0.0
S109,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.9999999999999998,0.8,0.0,0.4,0.8,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
S117,0.0,0.0,0.0,0,0,0.0,1.2,0.0,0.0,18.799999999999997,1.2,0.6000000000000001,0.0,2.4,11.999999999999996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4
S64,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2
S90,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.400000000000001,1.5999999999999999,8.200000000000001,0.6000000000000001,0.6000000000000001,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0
S61,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.6,1.2,0.0,0.4,3.6000000000000005,2.6000000000000005,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.0,0.0,0.0,0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,2.2,4.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
S50,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,13.0,1.5999999999999999,3.1999999999999997,0.2,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.2
S107,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.0000000000000004,1.2,0.2,0.4,4.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S215,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.609,1.0150000000000001,0.0,0.0,4.263,2.436,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.203
S118,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.4,0.6000000000000001,3.8000000000000007,0.0,2.4000000000000004,2.6000000000000005,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
S120,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.6,0.6000000000000001,5.3999999999999995,0.2,0.4,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.2
S33,0.0,0.0,0.0,0,0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,2.0,1.4,0.2,0.0,0.0,0.0,0.0,0.0,,,
S71,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,0.8,5.6000000000000005,0.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4
S43,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.4,2.1999999999999997,2.4000000000000004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
S66,0.0,0.0,0.0,0,0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S112,0.0,0.0,0.2,0,0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.6000000000000001,0.6000000000000001,0.8,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2
S40,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4
S108,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,
S113,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.1999999999999997,0.8,0.0,1.0,4.0,2.8000000000000007,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S44,0.0,0.0,0.0,0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,8.999999999999998,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
S119,,,0.0,0,0,0.0,0.0,0.0,,9.6,0.6000000000000001,6.4,,14.399999999999999,2.8000000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2
S121,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.2,3.4000000000000004,1.7999999999999998,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
S35,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001
S29,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,1.4,0.2,0.0,0.6000000000000001,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S94,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S78,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.8,0.6000000000000001,0.2,0.0,7.0,3.000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2
S106,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,6.0,1.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S81,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,2.6000000000000005,0.0,0.0,0.2,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S111,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.4,1.4,6.8,0.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
S900,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.400000000000001,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S122,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
S60,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,6.4,0.6000000000000001,0.2,0.0,1.4000000000000001,3.2000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.0
S84,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.4,0.4,0.2,0.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S79,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,8.2,0.6000000000000001,3.8000000000000003,0.0,1.4,2.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
S92,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,0.4,4.6000000000000005,0.0,0.4,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
S88,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.4,1.8,0.2,0.6000000000000001,2.2,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
S123,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.1999999999999997,1.4,1.0,1.4,4.0,2.8000000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0
S89,0.0,0.0,0.0,0,0,0.0,0.2,0.2,0.0,0.6000000000000001,0.8,0.0,0.0,8.8,18.200009999999995,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S115,0.0,0.0,,0,0,0.0,0.4,0.0,0.0,5.200000000000001,2.8000000000000007,,,0.0,16.4,0.8,0.2,0.0,0.0,0.0,,0.2,0.2,0.8
S82,0.0,0.0,0.0,0,0,0.0,0.8,0.6000000000000001,0.0,0.2,1.2,0.0,0.0,0.0,48.59999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
S24,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.2000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S08,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8,4.400000000000001,0.2,0.4,0.6000000000000001,,0.2,0.0,0.0,0.0,,0.0,,,0.4
S116,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,12.200000000000001,0.8,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S104,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.599999999999999,0.4,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
S100,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
