,2017-03-01Hour00,2017-03-01Hour01,2017-03-01Hour02,2017-03-01Hour03,2017-03-01Hour04,2017-03-01Hour05,2017-03-01Hour06,2017-03-01Hour07,2017-03-01Hour08,2017-03-01Hour09,2017-03-01Hour10,2017-03-01Hour11,2017-03-01Hour12,2017-03-01Hour13,2017-03-01Hour14,2017-03-01Hour15,2017-03-01Hour16,2017-03-01Hour17,2017-03-01Hour18,2017-03-01Hour19,2017-03-01Hour20,2017-03-01Hour21,2017-03-01Hour22,2017-03-01Hour23
S77,0.4,4.8,16.599999999999998,3.0,2.1999999999999997,1.4,0.4,1.0,2.4,0.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,0.0,0.0,1.2,8.4,16.2,4.2,1.2,3.2000000000000006,3.0000000000000004,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S117,0.2,0.0,3.0,2.6000000000000005,1.4,0.4,0.0,,0.8,0.8,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,0.0,0.0,3.6,15.8,11.000000000000002,3.8000000000000003,1.7999999999999998,3.6,3.000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S64,0.0,0.0,0.8,1.0,2.2,3.4,1.9999999999999998,1.2,1.6,0.8,0.0,0.0,0.0,0.0,19.799999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S90,0.2,1.4,11.799999999999997,2.4000000000000004,2.6000000000000005,1.9999999999999998,0.8,1.2,2.6,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S61,0.0,11.2,6.0,3.2000000000000006,3.5999999999999996,2.6,1.6,2.2,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0.0,0.0,0.6000000000000001,0.8,1.9999999999999998,3.4,1.7999999999999998,1.2,1.2,1.2,0.0,0.0,0.0,0.0,12.599999999999998,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.2,1.2,0.8,1.0,1.2,3.0,1.5999999999999999,1.2,1.0,1.2,0.0,0.0,0.0,0.0,1.5999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S50,0.0,3.5999999999999996,14.4,1.2,3.4000000000000004,2.6000000000000005,0.6000000000000001,,2.2,0.4,0.0,0.0,0.0,0.2,7.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
