,2020-11-26Hour00,2020-11-26Hour01,2020-11-26Hour02,2020-11-26Hour03,2020-11-26Hour04,2020-11-26Hour05,2020-11-26Hour06,2020-11-26Hour07,2020-11-26Hour08,2020-11-26Hour09,2020-11-26Hour10,2020-11-26Hour11,2020-11-26Hour12,2020-11-26Hour13,2020-11-26Hour14,2020-11-26Hour15,2020-11-26Hour16,2020-11-26Hour17,2020-11-26Hour18,2020-11-26Hour19,2020-11-26Hour20,2020-11-26Hour21,2020-11-26Hour22,2020-11-26Hour23
S77,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.2,1.0,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
S117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,1.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
S61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
S114,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
S215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.406,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
