,2017-10-03Hour00,2017-10-03Hour01,2017-10-03Hour02,2017-10-03Hour04,2017-10-03Hour05,2017-10-03Hour06,2017-10-03Hour07,2017-10-03Hour08,2017-10-03Hour09,2017-10-03Hour10,2017-10-03Hour11,2017-10-03Hour12,2017-10-03Hour13,2017-10-03Hour14,2017-10-03Hour15,2017-10-03Hour16,2017-10-03Hour17,2017-10-03Hour18,2017-10-03Hour19,2017-10-03Hour20,2017-10-03Hour21,2017-10-03Hour22,2017-10-03Hour23
S77,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0,0
S109,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0,0
S117,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0
S55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,5.2,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0
S64,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6,2.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0,0
S90,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.2,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0,0
S61,0,0.0,0.0,,0.0,0.0,0.0,10.799999999999999,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.8,1.0,0.2,0.0,0.0,0,0
S114,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,3.400000000000001,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0
S11,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.6,,0.2,1.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0,0
S50,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.200000000000003,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0
S101,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.4,,6.3999999999999995,3.0000000000000004,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0,0
S107,0,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0,0
S118,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,3.6000000000000005,4.2,0.0,0.0,0,0
S120,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0,0
S63,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,22.200000000000006,0.0,0.0,0.0,0.0,1.7999999999999998,1.2,0.0,0.0,0,0
S33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.2,0.0,0.0,0.0,0.0,7.6000000000000005,0.6000000000000001,0.0,0.0,0,0
S71,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,,0.0,3.6,0.0,0.0,0.0,0.6000000000000001,0.2,0.0,0.0,0,0
S43,0,0.0,0.0,,0.0,0.0,0.0,1.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.0,0.0,0,0
S66,0,,,,,,,,0.0,0.0,0.0,,0.2,0.0,,0.0,0.0,0.2,0.0,0.0,0.0,0,0
S112,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.4,0.0,0.2,0.0,0.0,0.0,0.2,0,0
S07,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.0,4.4,0.0,0.0,0.0,0.6000000000000001,0.4,0.0,0.0,0,0
S40,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0
S108,0,0.0,0.0,,0.0,0.0,0.0,0.6000000000000001,1.8,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,11.8,0.8,0.0,0.0,0,0
S113,0,0.0,0.0,,0.0,0.0,2.4000000000000004,4.2,0.0,0.0,1.6,,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.2,0.0,0.0,0,0
S44,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.8,,3.6,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0,0
S119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000000000001,5.2,1.2,0.0,0.0,0,0
S121,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,4.800000000000002,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0
S35,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.400000000000002,14.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0
S29,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6000000000000001,0.0,0.4,0.8,0.0,0.0,0.0,0,0
S94,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000000000001,1.2,0.0,0.0,0.0,0,0
S78,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,,0.0,0.0,0.0,0.0,0.4,0.6000000000000001,0.2,0.0,0.0,0,0
S106,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0,0
S81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.8,0.0,0.2,0.6000000000000001,0.2,0.0,0.0,0,0
S111,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,8.2,0.0,0.0,0,0
S900,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.1999999999999997,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0,0
S102,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
S122,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0,0
S60,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0
S46,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0,0
S84,0,0.0,0.0,,0.0,0.0,0.0,1.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.2,0.0,0.0,0.2,0,0
S79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,3.8,5.2,0.0,0.0,0,0
S92,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.4,0.0,0.0,0.0,1.4,0.2,0.0,0.0,0,0
S88,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.2,0.2,0.6000000000000001,0.4,0.0,0.0,0,0
S123,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.8,0.6000000000000001,0.0,0.0,0,0
S89,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0
S115,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
S24,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.6,1.4,0.2,0.0,0.0,0,0
S69,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,2.0,,0.0,0.2,0.0,0.0,0.0,0.6000000000000001,0.4,0.0,0.0,0,0
S36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2,0.0,0.0,0,0
S08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0,0
S116,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.6000000000000001,3.2,0.0,0.0,0.0,0,0
S104,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0
S100,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0,0
S91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0
