,2018-04-17Hour00,2018-04-17Hour01,2018-04-17Hour03,2018-04-17Hour04,2018-04-17Hour05,2018-04-17Hour06,2018-04-17Hour07,2018-04-17Hour08,2018-04-17Hour09,2018-04-17Hour10,2018-04-17Hour11,2018-04-17Hour12,2018-04-17Hour13,2018-04-17Hour14,2018-04-17Hour15,2018-04-17Hour16,2018-04-17Hour17,2018-04-17Hour18,2018-04-17Hour19,2018-04-17Hour20,2018-04-17Hour21,2018-04-17Hour22,2018-04-17Hour23
S77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S109,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S117,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S61,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,25.6,3.2000000000000006,1.4,0.2,0.0,0.0,0.0,0.0,0.0
S11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.600000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S50,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.99999,1.2,,0.0,0.0,0.0,0.0,0.0,0.0
S101,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,54.4,9.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S107,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S215,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S118,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S71,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S43,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
