,2020-07-23Hour00,2020-07-23Hour01,2020-07-23Hour02,2020-07-23Hour03,2020-07-23Hour04,2020-07-23Hour05,2020-07-23Hour06,2020-07-23Hour07,2020-07-23Hour08,2020-07-23Hour09,2020-07-23Hour10,2020-07-23Hour11,2020-07-23Hour12,2020-07-23Hour13,2020-07-23Hour14,2020-07-23Hour15,2020-07-23Hour16,2020-07-23Hour17,2020-07-23Hour18,2020-07-23Hour19,2020-07-23Hour20,2020-07-23Hour21,2020-07-23Hour22,2020-07-23Hour23
S77,0.0,0.0,0.0,0.4,1.0,0.6000000000000001,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0,0,0.0,0,0,0.0,0,0,0
S109,0.0,0.0,0.0,0.0,0.0,0.4,3.4000000000000004,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0
S117,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0
S90,0.0,0.0,0.0,0.0,0.4,0.8,1.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0
S61,0.0,0.0,0.0,4.800000000000001,3.2,2.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0
S114,0.2,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0,0,0.0,0,0,0.0,0,0,0
S11,3.4,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,8.4,3.6,0.0,0,0,0.0,0,0,0.0,0,0,0
S50,0.0,0.0,0.0,0.0,0.0,0.4,1.7999999999999998,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0
S107,0.0,0.0,0.0,5.4,20.799999999999997,1.5999999999999999,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0,0.0,0,0,0.0,0,0,0
S215,0.0,0.0,0.0,1.218,2.639,0.812,1.2180000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0,0,0.0,0,0,0.0,0,0,0
