,2021-01-12Hour00,2021-01-12Hour01,2021-01-12Hour02,2021-01-12Hour03,2021-01-12Hour04,2021-01-12Hour05,2021-01-12Hour06,2021-01-12Hour07,2021-01-12Hour08,2021-01-12Hour09,2021-01-12Hour10,2021-01-12Hour11,2021-01-12Hour12,2021-01-12Hour13,2021-01-12Hour14,2021-01-12Hour15,2021-01-12Hour16,2021-01-12Hour17,2021-01-12Hour18,2021-01-12Hour19,2021-01-12Hour20,2021-01-12Hour21,2021-01-12Hour22,2021-01-12Hour23
S77,0.6000000000000001,0.4,0.0,,,0.0,0.0,0.0,3.6,0.0,7.200000000000001,3.6,0.2,0.0,0.2,0.0,0.0,,0.0,0.2,,0.2,0.2,0.0
S109,0.2,0.0,0.2,0.0,4.8,0.2,0.0,0.0,2.8,0.0,0.8,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,,0.2,0.0,0.0
S90,0.4,0.2,0.0,0.0,3.6,0.2,0.0,0.0,3.4000000000000004,0.0,2.6000000000000005,2.0,0.2,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.4,,0.2,0.2,0.0
S114,0.0,0.0,0.0,0.0,2.1999999999999997,0.0,0.0,0.2,0.8,1.0,1.0,0.2,0.6000000000000001,0.2,0.2,1.4,0.0,0.0,1.4,0.6000000000000001,,0.0,0.2,0.0
S11,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.2,0.6000000000000001,0.4,1.4000000000000001,0.8,0.2,0.0,0.0,0.2,0.2,1.2,0.0,0.4,1.0,3.4000000000000004,0.0,0.0
S50,0.0,0.0,0.0,0.6000000000000001,1.0,0.6000000000000001,0.0,0.0,7.199999999999999,3.8000000000000003,0.4,1.2000000000000002,0.6000000000000001,0.4,0.0,0.0,0.6000000000000001,0.4,0.0,0.6000000000000001,,0.2,0.0,0.0
S107,0.0,0.0,0.0,1.5999999999999999,0.2,0.0,0.0,0.4,0.0,1.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.0,0.2,0.2
S215,0.0,3.2479999999999998,0.203,0.0,0.812,0.0,0.0,0.609,0.812,8.526,12.992,0.0,0.0,0.406,0.0,0.0,0.0,0.0,0.203,4.263,1.2180000000000002,0.0,0.0,0.203
S118,0.4,1.0,0.2,2.6,1.2,0.0,0.0,0.2,0.6000000000000001,1.8,11.999999999999998,1.0,0.0,0.0,0.2,0.0,1.2,0.2,0.0,1.6,0.6000000000000001,0.0,0.0,0.0
S120,0.4,0.2,0.2,0.0,3.2,0.0,0.0,0.0,2.8000000000000003,0.0,5.800000000000001,2.2,0.2,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.2,0.2,0.4,0.2,0.0
