,2020-09-05Hour00,2020-09-05Hour01,2020-09-05Hour02,2020-09-05Hour03,2020-09-05Hour04,2020-09-05Hour05,2020-09-05Hour06,2020-09-05Hour07,2020-09-05Hour08,2020-09-05Hour09,2020-09-05Hour10,2020-09-05Hour11,2020-09-05Hour12,2020-09-05Hour13,2020-09-05Hour14,2020-09-05Hour15,2020-09-05Hour16,2020-09-05Hour17,2020-09-05Hour18,2020-09-05Hour19,2020-09-05Hour20,2020-09-05Hour21,2020-09-05Hour22,2020-09-05Hour23
S77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,4.8,4.6000000000000005,5.200000000000001,2.6,2.2,0.8,0.6000000000000001,0.8,0.0,0.0,0.0,0.0,0.2,0.2,0.2
S109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.1999999999999997,1.7999999999999998,2.8,2.8000000000000007,1.4,1.2,0.4,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.2,0.0
S117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.4,4.0,1.0,3.000000000000001,1.4,2.1999999999999997,1.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2
S90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.9999999999999998,3.2,3.8,4.0,1.5999999999999999,1.9999999999999998,0.6000000000000001,0.2,0.8,0.0,0.0,0.0,0.0,0.4,0.2,0.0
S61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6000000000000005,1.2,6.2,4.800000000000002,2.4,1.4,0.8,8.6,1.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0
S114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.0000000000000013,26.400000000000006,4.6000000000000005,1.5999999999999999,1.5999999999999999,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.6000000000000001,0.0
S11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,6.200000000000001,14.2,4.2,3.2,1.5999999999999999,0.8,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.2,0.2
S50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.6,3.8,3.0000000000000004,1.4,1.7999999999999998,0.4,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.4,0.0
S107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999998,3.6000000000000005,1.5999999999999999,5.0,11.799999999999997,2.4,1.5999999999999999,0.6000000000000001,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6240000000000003,3.045,1.8270000000000004,14.819,18.879,2.233,1.6240000000000003,0.609,0.812,0.812,0.0,0.0,0.0,0.0,0.203,0.203,0.0
S118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.8000000000000003,15.0,25.799999999999994,2.4000000000000004,2.2,0.8,0.4,1.2,0.0,0.0,0.0,0.2,0.4,0.2,0.0
S120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.9999999999999998,5.6,6.400000000000001,4.2,1.8,2.1999999999999997,0.8,0.4,0.8,0.2,0.0,0.0,0.0,0.4,0.2,0.0
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5.8,3.2000000000000006,3.8000000000000003,1.2,2.8000000000000007,1.2,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2
S71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,2.2,3.6,4.400000000000001,3.8000000000000003,2.6,2.4,0.8,0.2,0.8,0.0,0.0,0.0,0.0,0.2,0.4,0.2
S43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0000000000000004,3.400000000000001,1.2,5.6,5.800000000000002,2.1999999999999997,1.4,0.4,1.2,0.8,0.0,0.0,0.0,0.0,0.2,0.2,0.0
