,2020-01-21Hour00,2020-01-21Hour01,2020-01-21Hour02,2020-01-21Hour03,2020-01-21Hour04,2020-01-21Hour05,2020-01-21Hour06,2020-01-21Hour07,2020-01-21Hour08,2020-01-21Hour09,2020-01-21Hour10,2020-01-21Hour11,2020-01-21Hour12,2020-01-21Hour13,2020-01-21Hour14,2020-01-21Hour15,2020-01-21Hour17,2020-01-21Hour18,2020-01-21Hour19,2020-01-21Hour20,2020-01-21Hour21,2020-01-21Hour22,2020-01-21Hour23
S77,0.0,0.4,4.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,16.8,3.6000000000000005,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,0.0,0.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.5999999999999999,3.8000000000000007,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.399999999999999,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S64,,,,,,,,,,,,,,,,,,,,,,,
S90,0.0,0.2,2.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,7.0,2.0000000000000004,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S61,0.0,3.6,1.0,0.0,0.0,0.0,0.0,4.6,0.4,0.0,0.2,0.0,0.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,2.4000000000000004,1.4,0.0,1.0,1.2,1.5999999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,8.999999999999998,1.9999999999999998,0.2,4.0,3.600000000000001,1.9999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S107,0.0,2.6000000000000005,0.8,0.0,0.0,0.0,0.0,8.8,0.4,0.0,0.6000000000000001,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S215,0.0,13.398,1.4210000000000003,0.0,0.0,0.0,0.0,0.609,0.609,0.0,0.812,0.0,6.090000000000002,0.812,0.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S118,0.0,4.6,1.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0,13.799999999999999,2.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S120,0.0,0.4,2.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,14.2,1.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.2,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S71,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.6000000000000005,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S43,0.0,10.0,1.5999999999999999,0.4,0.0,0.0,0.0,1.2,0.4,0.0,0.6000000000000001,0.0,13.6,5.0,1.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,13.4,1.7999999999999998,0.4,10.4,3.6000000000000005,3.0000000000000004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,18.000000000000004,2.6,0.6000000000000001,12.0,5.000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S07,0.0,0.2,1.4000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6.000000000000001,6.000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,4.0,0.2,0.0,1.2000000000000002,1.0,1.4000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
S108,0.0,2.8000000000000003,0.6000000000000001,,0.0,0.0,0.0,3.8000000000000003,3.400000000000001,0.0,0.2,0.0,1.8,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S113,0.0,0.4,0.4,0.0,0.0,0.0,0.0,2.4,1.4,0.0,0.2,0.0,0.2,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.8000000000000003,2.6,0.2,0.6000000000000001,2.1999999999999997,1.5999999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S119,0.0,7.4,1.2,0.0,0.0,0.0,0.0,0.2,2.1999999999999997,0.0,0.6,0.0,2.0,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,3.2,1.8,0.0,1.0,1.4,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S29,0.0,10.799999999999997,1.2,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.6000000000000001,0.2,8.2,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S94,0.0,2.4,1.9999999999999998,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,1.0,0.0,1.9999999999999998,3.000000000000001,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S78,0.0,6.6000000000000005,1.0,0.0,0.0,0.0,0.0,1.6,2.0,0.0,0.2,0.0,0.8,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S106,0.2,18.0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,13.000000000000002,20.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S81,0.0,4.6000000000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.000000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S111,0.0,3.4,2.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6000000000000001,0.0,19.4,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S900,0.0,1.5999999999999999,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.8,2.4000000000000004,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
