,2017-05-22Hour00,2017-05-22Hour01,2017-05-22Hour02,2017-05-22Hour03,2017-05-22Hour04,2017-05-22Hour05,2017-05-22Hour06,2017-05-22Hour07,2017-05-22Hour08,2017-05-22Hour09,2017-05-22Hour10,2017-05-22Hour11,2017-05-22Hour12,2017-05-22Hour13,2017-05-22Hour14,2017-05-22Hour15,2017-05-22Hour16,2017-05-22Hour17,2017-05-22Hour18,2017-05-22Hour19,2017-05-22Hour20,2017-05-22Hour21,2017-05-22Hour23
S77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.2,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,0.4,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0
S117,0.0,0.0,0.0,0.0,0.0,0.0,3.2,24.799989999999998,35.4,3.1999999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,1.8,0.0,0.0,0.0,0.0,0.0,0.0,17.2,5.800000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S64,0.4,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,11.799999999999999,4.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S90,0.2,0.0,0.0,0.0,0.0,0.0,0.0,22.400000000000002,1.5999999999999999,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.800000000000001,0.0,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0.4,0.0,0.0,0.0,0.0,0.0,4.4,13.0,2.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S50,,0.0,0.0,0.0,0.0,0.0,,34.599999999999994,1.7999999999999998,1.7999999999999998,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
S101,2.6,0.0,0.0,0.0,0.0,0.0,8.4,27.000000000000004,16.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S107,0.0,,0.0,0.0,,,,0.0,,0.0,0.2,,,,0.2,0.0,,0.0,,0.0,0.0,0.0,0.0
S120,0.2,0.0,0.0,0.0,0.0,0.0,0.0,23.999999999999996,1.4000000000000001,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S63,1.4,0.0,0.0,0.0,0.0,0.0,11.8,29.400000000000002,13.200000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S33,0.2,0.0,0.0,0.0,0.0,0.0,12.4,43.19999,7.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S43,1.4,0.0,0.0,0.0,0.0,0.0,0.0,12.399999999999999,,0.2,,,,,,0.0,,0.0,,,0.0,,0.0
S66,0.2,0.0,0.2,0.0,0.0,0.0,0.0,7.200000000000001,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S07,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.2,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S40,0.2,0.0,0.0,0.2,0.0,0.0,0.0,13.6,3.2000000000000006,3.2000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S108,0.0,0.0,0.0,,,,0.0,,0.4,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
S113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.2,0.0,1.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S121,,,0.0,,,0.0,7.6,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0
S35,0.6,0.0,0.0,0.0,0.0,0.0,0.4,34.800000000000004,4.200000000000001,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
