,2018-12-20Hour00,2018-12-20Hour01,2018-12-20Hour02,2018-12-20Hour03,2018-12-20Hour04,2018-12-20Hour05,2018-12-20Hour06,2018-12-20Hour07,2018-12-20Hour08,2018-12-20Hour09,2018-12-20Hour10,2018-12-20Hour11,2018-12-20Hour12,2018-12-20Hour13,2018-12-20Hour14,2018-12-20Hour15,2018-12-20Hour16,2018-12-20Hour17,2018-12-20Hour18,2018-12-20Hour19,2018-12-20Hour20,2018-12-20Hour21,2018-12-20Hour22,2018-12-20Hour23
S105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.799999999999999,0.2,0.0,0.0,0.0,0.0
S77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999999999998,4.4,0.0,0.0,0.0,0.0,0.0
S117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,71.00001,1.8,0.0,0.0,0.0,0.0,0.0
S64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,5.0,0.8,0.0,0.0,0.0,0.0,0.0
S90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
S61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,14.8,2.8000000000000007,0.0,0.0,0.0,0.0,0.0
S114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
S50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,33.2,4.4,0.0,0.0,0.0,0.0,0.0
S215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0150000000000001,1.2180000000000002,0.0,0.0,0.0,0.0,0.0
S118,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0
S120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S71,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,13.6,1.9999999999999998,0.0,0.0,0.0,0.0,0.0
S112,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0
S07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.2,0.0,0.0,0.0,0.0,0.0
S40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0
S108,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,,0.0,0.0,0.0,0.0
